recorte,numero_mask,8_layers_8channels,32_layers_8channels,64_layers_8channels,8_layers_1channels,32_layers_1channels
3,1181.0,0.9720338983050848,0.96,0.9518338488731772,0.9507512520868113,0.9353277606687197
12,44.0,0.6942148760330579,0.6610169491525424,0.7155963302752294,0.6949152542372882,0.7272727272727273
14,0.0,1.0,1.0,1.0,1.0,1.0
15,11.0,0.0,0.16666666666666666,0.0,0.0,0.5333333333333333
24,1022.0,0.9125925925925926,0.921090387374462,0.9036269430051813,0.8660714285714286,0.8336097291321172
26,581.0,0.9185441941074524,0.9245446660884649,0.915129151291513,0.8817021276595745,0.8902991840435177
28,48.0,0.88,0.8247422680412371,0.8372093023255814,0.18867924528301888,0.6666666666666666
31,0.0,1.0,1.0,1.0,1.0,1.0
33,215.0,0.8609865470852018,0.803347280334728,0.7782101167315175,0.8746928746928747,0.8467532467532467
34,26.0,0.0,0.0136986301369863,0.01769199839163651,0.2898550724637681,0.25274725274725274
38,1326.0,0.9307839388145316,0.9338317757009346,0.9311015959517321,0.9000385951370128,0.8944601698342095
55,294.0,0.7339449541284404,0.6981132075471698,0.6064814814814815,0.7099697885196374,0.7319587628865979
56,0.0,0.0,0.0,0.0,0.0,0.0
60,359.0,0.8961892247043364,0.8962765957446809,0.8982558139534884,0.8628495339547271,0.8766716196136701
65,1697.0,0.961896189618962,0.9709592255793488,0.9595867517471893,0.9584323040380047,0.938788257339163
75,203.0,0.7602339181286549,0.8123393316195373,0.7283950617283951,0.8238636363636364,0.7633136094674556
85,11.0,0.9166666666666666,0.3333333333333333,0.4,0.0,0.5882352941176471
90,72.0,0.5904761904761905,0.5045045045045045,0.3137254901960784,0.5454545454545454,0.5
97,149.0,0.7109375,0.746031746031746,0.6063348416289592,0.8717948717948718,0.51
100,316.0,0.7269303201506592,0.7847222222222222,0.6485355648535565,0.6954954954954955,0.6454183266932271
104,84.0,0.9382716049382716,0.9634146341463414,0.9024390243902439,0.9565217391304348,0.8666666666666667
105,72.0,0.6197183098591549,0.6833333333333333,0.5370370370370371,0.6141732283464567,0.5321100917431193
116,84.0,0.3185840707964602,0.2807017543859649,0.25,0.2777777777777778,0.21568627450980393
124,586.0,0.947986577181208,0.9610169491525423,0.9569798068481123,0.9181141439205955,0.9264836138175376
127,278.0,0.7737226277372263,0.7894736842105263,0.7777777777777778,0.663003663003663,0.66015625
131,0.0,0.0,1.0,1.0,1.0,1.0
